Company,City,Country,Industry,Investor,Last Valuation,Unicorn
Blueprint Power,New York,United States,Energy,Fifth Wall,10000000,0
Paladin Cyber,San Francisco,United States,Cyber Security,Y Combinator,10000000,0
INDUS.AI,San Francisco,United States,Artificial Intelligence,Creative Destruction Lab (CDL),10000000,0
Helm,Bellevue,United States,Network Security,Liquid 2 Ventures,10000000,0
Toonimo,New York,United States,Enterprise Software,Lux Capital,10000000,0
Clora,Cambridge,United States,Biotechnology,MAGIC Fund,10000000,0
SiteZeus,Tampa,United States,Computer,BALDWIN BEACH CAPITAL,10000000,0
Flock,San Francisco,United States,Employee Benefits,The Hartford,10000000,0
Gradient.io,Seattle,United States,Advertising,Pioneer Square Labs,10000000,0
Roam International,New York,United States,Architecture,Collaborative Fund,10000000,0
Petasense,San Jose,United States,Industrial,True Ventures,10000000,0
Lumina,San Francisco,United States,Financial Services,Craft Ventures,10000000,0
CurbStand,West Hollywood,United States,Automotive,Michael Jones,10000000,0
Rubik,New York,United States,Financial Services,Ulu Ventures,10000000,0
Proof,Scottsdale,United States,Analytics,Webonise,10000000,0
KnowledgeHound,Chicago,United States,Analytics,M25,10000000,0
NuID,New York,United States,Blockchain,8VC,10000000,0
Autocode,San Francisco,United States,Developer APIs,Stripe,10000000,0
Core10,Franklin,United States,Computer,FINTOP Capital,10000000,0
Confide,New York,United States,Enterprise Software,Lakestar,10000000,0
Predata,New York,United States,Analytics,Edison Partners,10000000,0
Aggrigator,Salinas,United States,Commercial,Venture Catalysts,10000000,0
ReFirm Labs,Fulton,United States,Computer,TEDCO,10000000,0
Augmate,New York,United States,Artificial Intelligence,Tim Draper,10000000,0
Beyond,San Francisco,United States,Big Data,Bessemer Venture Partners,10000000,0
Hypur,Scottsdale,United States,Banking,,10000000,0
Green Dot Labs,Boulder,United States,Cannabis,Tuatara Capital,10000000,0
Cabin,San Francisco,United States,Hospitality,StartX (Stanford-StartX Fund),10000000,0
Identified Technologies,Pittsburgh,United States,Construction,Innovation Works,10000000,0
Sourceress,San Francisco,United States,Artificial Intelligence,Lightspeed Venture Partners,10000000,0
KnipBio,Lowell,United States,Aquaculture,National Science Foundation,10000000,0
FI Navigator,Atlanta,United States,Analytics,Commerce Ventures,10000000,0
TradeIT,New York,United States,Finance,Citi Ventures,10000000,0
Greenrush,San Mateo,United States,Cannabis,RenGen Labs,10000000,0
Prattle Analytics,St Louis,United States,Financial Services,GCM Grosvenor,10000000,0
Visual Threat,San Jose,United States,Cyber Security,InnoSpring Seed Fund,10000000,0
STARC Systems,Brunswick,United States,Building Material,Blue Heron Capital,10000000,0
